Start  Time: 2024/01/11, 22:45:21.599
Export Time: 2024/01/11, 22:47:59.545
Min  (dBA):   88.0
Max  (dBA):   91.9
Peak (dBA):   95.7
Avg  (dBA):   89.6
TWA  (dBA):   62.6
Dose (%):    0.6

Recorded Value (dBA),Response Time (seconds)
89.4,0.2
91.9,0.2
91.5,0.2
91.8,0.2
91.1,0.2
91.3,0.2
91.4,0.2
91.3,0.2
91.6,0.2
91.3,0.2
91.1,0.2
90.8,0.2
91.3,0.2
91.3,0.2
91.3,0.2
91.6,0.2
91.6,0.2
91.3,0.2
91.9,0.2
91.4,0.2
91.3,0.2
91.4,0.2
91.1,0.2
91.4,0.2
91.5,0.2
91.2,0.2
91.2,0.2
89.9,0.2
89.5,0.2
88.8,0.2
88.7,0.2
88.7,0.2
88.9,0.2
89.6,0.2
88.9,0.2
88.7,0.2
89.3,0.2
89.0,0.2
88.8,0.2
89.2,0.2
88.7,0.2
90.4,0.2
88.5,0.2
88.6,0.2
89.8,0.2
89.1,0.2
89.5,0.2
89.5,0.2
88.8,0.2
89.0,0.2
88.8,0.2
89.5,0.2
89.0,0.2
90.1,0.2
89.1,0.2
90.1,0.2
89.3,0.2
88.4,0.2
88.3,0.2
90.3,0.2
88.0,0.2
88.2,0.2
89.0,0.2
89.7,0.2
88.8,0.2
88.9,0.2
89.6,0.2
88.9,0.2
89.4,0.2
88.6,0.2
88.8,0.2
89.9,0.2
89.0,0.2
88.8,0.2
88.6,0.2
88.3,0.2
88.4,0.2
88.4,0.2
88.4,0.2
89.1,0.2
88.7,0.2
88.6,0.2
88.5,0.2
88.4,0.2
90.3,0.2
88.5,0.2
88.3,0.2
88.0,0.2
88.2,0.2
89.0,0.2
88.7,0.2
88.6,0.2
88.5,0.2
88.4,0.2
88.9,0.2
89.9,0.2
88.9,0.2
88.8,0.2
88.9,0.2
88.4,0.2
89.1,0.2
88.4,0.2
88.7,0.2
89.7,0.2
89.1,0.2
88.6,0.2
88.8,0.2
88.6,0.2
88.2,0.2
88.4,0.2
88.4,0.2
88.4,0.2
88.2,0.2
89.7,0.2
88.8,0.2
89.0,0.2
88.6,0.2
88.8,0.2
88.4,0.2
89.4,0.2
89.9,0.2
88.6,0.2
88.3,0.2
88.4,0.2
89.6,0.2
88.8,0.2
88.7,0.2
88.7,0.2
88.7,0.2
89.0,0.2
89.0,0.2
88.6,0.2
88.9,0.2
90.5,0.2
89.1,0.2
88.8,0.2
88.9,0.2
89.1,0.2
89.1,0.2
89.1,0.2
89.0,0.2
89.2,0.2
89.3,0.2
88.6,0.2
88.7,0.2
89.2,0.2
89.1,0.2
89.2,0.2
89.2,0.2
89.4,0.2
89.1,0.2
89.3,0.2
89.0,0.2
90.8,0.2
89.3,0.2
89.7,0.2
90.0,0.2
89.7,0.2
90.2,0.2
89.5,0.2
90.0,0.2
90.0,0.2
90.7,0.2
89.6,0.2
89.5,0.2
89.5,0.2
89.2,0.2
90.0,0.2
89.3,0.2
90.0,0.2
89.3,0.2
90.1,0.2
89.4,0.2
89.3,0.2
89.2,0.2
89.2,0.2
89.8,0.2
89.0,0.2
89.0,0.2
89.5,0.2
89.6,0.2
89.8,0.2
89.3,0.2
89.8,0.2
90.9,0.2
89.7,0.2
89.5,0.2
90.4,0.2
89.7,0.2
89.6,0.2
89.4,0.2
89.7,0.2
89.1,0.2
89.3,0.2
89.4,0.2
90.5,0.2
90.1,0.2
90.6,0.2
89.7,0.2
89.4,0.2
89.2,0.2
89.3,0.2
89.2,0.2
89.8,0.2
89.6,0.2
89.4,0.2
89.8,0.2
89.8,0.2
89.9,0.2
90.3,0.2
89.5,0.2
90.2,0.2
89.3,0.2
89.1,0.2
89.8,0.2
89.3,0.2
90.3,0.2
90.3,0.2
89.7,0.2
89.5,0.2
89.4,0.2
89.7,0.2
89.4,0.2
89.4,0.2
89.6,0.2
89.1,0.2
90.3,0.2
90.4,0.2
89.4,0.2
90.3,0.2
89.7,0.2
89.6,0.2
90.1,0.2
89.7,0.2
89.9,0.2
89.4,0.2
89.8,0.2
89.5,0.2
90.0,0.2
89.4,0.2
89.8,0.2
89.7,0.2
89.4,0.2
90.0,0.2
89.7,0.2
90.5,0.2
89.7,0.2
90.0,0.2
90.4,0.2
90.0,0.2
89.6,0.2
89.9,0.2
89.9,0.2
90.7,0.2
89.7,0.2
89.2,0.2
90.0,0.2
89.8,0.2
89.9,0.2
90.4,0.2
89.7,0.2
90.0,0.2
89.3,0.2
89.3,0.2
89.5,0.2
89.5,0.2
89.5,0.2
89.4,0.2
89.3,0.2
90.0,0.2
89.3,0.2
89.7,0.2
90.6,0.2
89.9,0.2
89.4,0.2
89.0,0.2
90.1,0.2
89.8,0.2
90.2,0.2
91.0,0.2
90.0,0.2
89.9,0.2
89.8,0.2
90.6,0.2
90.4,0.2
